geneId,uniqueDiseases,uniqueTherapeuticAreas,maxEQTLColoc,maxPQTLColoc,maxVEP,maxDistanceTSS,minEffectiveSampleSize,maxEffectiveSampleSize,earliestPublicationDate,cancerOrBenignTumor,infectiousDisease,pregnancyOrPerinatalDisease,disorderOfVisualSystem,cardiovascularDisease,pancreasDisease,gastrointestinalDisease,reproductiveSystemOrBreastDisease,integumentarySystemDisease,endocrineSystemDisease,respiratoryOrThoracicDisease,urinarySystemDisease,musculoskeletalOrConnectiveTissueDisease,disorderOfEar,immuneSystemDisease,hematologicDisease,nervousSystemDisease,psychiatricDisorder,nutritionalOrMetabolicDisease,geneticFamilialOrCongenitalDisease,injuryPoisoningOrOtherComplication,signOrSymptom,other,totalStudies,approvedSymbol,lofConstraint,misConstraint,synConstraint,pathwayCount,tissueSpecificity,tissueDistribution,Term,ID
ENSG00000145012,59,14,1,0,0,1,1993.0086797624485,1424218.0900670097,2008-03-02,35,0,0,11,0,19,1,0,6,19,47,3,2,0,5,0,4,0,0,21,0,1,4,178,LPP,0.23500001,-1.1411,-0.89062,0,-1.0,-1.0,,
ENSG00000107249,33,13,1,0,0,1,1270.7887323943662,1990918.947961699,2009-05-10,2,0,2,4,2,37,0,0,0,16,10,0,20,0,1,0,3,0,0,3,0,1,4,105,GLIS3,0.14700001,-4.5377,-3.9016,0,0.5,0.0,,
ENSG00000118971,34,13,1,0,0,1,6148.286988658086,1424218.0900670097,2012-12-23,30,1,2,5,2,53,0,0,0,2,0,3,1,0,0,0,3,0,1,2,0,0,3,108,CCND2,0.615,2.8824,0.49464,4,-1.0,0.0,Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Disease,R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-1643685
ENSG00000134954,31,13,1,0,0,1,1036.6540600667408,1424218.0900670097,2009-10-18,4,0,0,8,2,25,0,0,11,0,13,17,13,0,3,0,2,0,1,14,0,0,10,123,ETS1,0.607,2.6084,0.35347,1,0.5,-1.0,,
ENSG00000137265,62,13,1,0,1,1,1494.9871332990222,431284.57934287674,2008-08-31,99,0,0,1,0,1,0,0,21,7,4,2,6,0,2,0,0,0,2,11,4,0,3,163,IRF4,0.617,2.9149,-0.17616,5,0.5,0.0,Cytokine Signaling in Immune system;Immune System;Developmental Biology;Disease;Signaling by Interleukins;Diseases of signal transduction by growth factor receptors and second messengers;Interleukin-4 and Interleukin-13 signaling,R-HSA-1280215;R-HSA-168256;R-HSA-1266738;R-HSA-1643685;R-HSA-449147;R-HSA-5663202;R-HSA-6785807
ENSG00000153814,42,13,1,0,0,1,2201.586503948313,1990918.947961699,2008-03-30,21,0,0,6,1,41,1,0,0,1,18,6,11,0,3,0,2,0,0,5,0,0,9,125,JAZF1,0.56200004,2.5362,0.12797,0,0.5,-1.0,,
ENSG00000120071,33,13,1,0,1,1,3154.6966051857794,1470466.6505612188,2014-05-19,7,5,0,2,5,1,1,0,0,0,3,2,5,0,0,0,3,0,0,8,1,0,6,49,KANSL1,0.675,0.89624,-1.4453,2,-1.0,0.0,Gene expression (Transcription),R-HSA-74160
ENSG00000084734,38,13,1,0,1,1,1335.4481927710845,1424218.0900670097,2010-07-25,3,0,5,3,0,23,7,4,0,0,0,5,40,0,0,0,1,1,9,25,0,0,12,138,GCKR,-0.13800001,0.16673,0.27523,2,1.0,0.5,Disease,R-HSA-1643685
ENSG00000112182,46,13,1,0,1,1,8063.55842573413,574782.4268116049,2008-11-02,31,1,0,0,0,9,1,0,7,23,51,3,2,0,6,0,0,0,0,11,0,1,6,152,BACH2,0.83599997,3.446,0.37633,0,0.75,0.0,,
ENSG00000149294,35,13,1,1,0,1,1173.5007132667617,1778690.168860174,2021-01-21,4,3,0,0,1,2,3,0,1,0,0,1,2,0,0,0,18,1,0,3,0,6,7,52,NCAM1,0.783,3.9385,1.1296,6,0.5,0.0,Signal Transduction;Cytokine Signaling in Immune system;Immune System;Developmental Biology,R-HSA-162582;R-HSA-1280215;R-HSA-168256;R-HSA-1266738
ENSG00000091831,59,12,1,0,0,1,606.6666666666666,1424218.0900670097,2012-09-13,35,2,0,0,3,1,0,15,0,0,2,0,11,0,0,0,10,0,0,5,5,2,14,105,ESR1,0.544,2.4607,0.21561,15,0.5,0.0,Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Disease;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers;RUNX1 regulates estrogen receptor mediated transcription;Post-translational protein modification;Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-1643685;R-HSA-9006934;R-HSA-5663202;R-HSA-8931987;R-HSA-597592;R-HSA-8864260
ENSG00000108175,43,12,1,0,0,1,6080.768276597768,1424218.0900670097,2009-11-15,46,0,0,2,3,30,2,0,3,1,0,3,2,0,2,0,4,0,0,31,0,0,0,129,ZMIZ1,0.78,4.147,0.083924,0,-1.0,-1.0,,
ENSG00000171522,38,12,1,0,0,1,1376.5857627118644,473900.221403792,2007-03-05,19,2,0,0,0,2,6,0,2,1,3,1,3,0,7,0,0,0,0,50,0,0,3,99,PTGER4,0.454,2.5528,0.42473,2,0.5,0.0,Signal Transduction,R-HSA-162582
ENSG00000173175,14,12,1,0,0,1,1173.5007132667617,1424218.0900670097,2017-09-04,0,1,1,2,1,31,1,0,0,0,3,0,0,0,1,0,2,0,1,1,0,0,1,46,ADCY5,0.674,4.4785,0.23109,16,0.5,0.0,Signal Transduction;Disease,R-HSA-162582;R-HSA-1643685
ENSG00000186868,27,12,1,0,1,1,1064.6275499474239,756470.9740366563,2010-11-02,4,4,0,1,11,0,0,0,2,0,1,0,2,0,0,0,4,0,0,7,1,2,3,42,MAPT,0.277,2.4904,0.20612,3,0.5,0.0,Cytokine Signaling in Immune system;Immune System,R-HSA-1280215;R-HSA-168256
ENSG00000187323,50,12,1,0,0,1,4294.233261840138,1778690.168860174,2018-08-13,0,1,0,4,1,1,1,0,0,0,2,0,8,0,0,0,30,0,2,6,0,7,5,68,DCC,0.58599997,0.97556,-0.67217,7,0.5,0.5,Developmental Biology,R-HSA-1266738
ENSG00000293584,24,12,0,0,0,1,5212.488325165754,1424218.0900670097,2013-12-01,4,2,0,2,0,6,2,0,1,0,6,1,3,0,1,0,0,0,0,2,0,0,4,34,ENSG00000293584,,,,0,,,,
ENSG00000078403,41,12,1,0,0,1,6067.527905738457,1778690.168860174,2015-01-12,15,0,0,1,5,0,5,3,0,0,7,0,7,0,0,0,4,0,3,3,0,2,13,68,MLLT10,0.709,1.8885,-0.70851,0,0.5,-1.0,,
ENSG00000113302,25,12,0,1,0,1,1173.5007132667617,433862.5685735124,2008-06-29,3,2,0,0,0,4,2,0,20,1,0,3,10,0,2,0,1,0,0,96,0,0,2,146,IL12B,0.0009999871,1.2491,0.85791,4,0.5,1.0,Cytokine Signaling in Immune system;Immune System;Signaling by Interleukins;Interleukin-4 and Interleukin-13 signaling,R-HSA-1280215;R-HSA-168256;R-HSA-449147;R-HSA-6785807
ENSG00000115267,24,12,1,0,1,1,1429.811906816221,381165.6245253304,2007-06-06,2,2,0,0,1,6,0,0,4,9,1,0,1,0,1,0,1,0,1,23,0,0,0,52,IFIH1,-0.40600002,-0.4273,-0.49606,12,0.5,-1.0,Cytokine Signaling in Immune system;Immune System;Disease;Post-translational protein modification,R-HSA-1280215;R-HSA-168256;R-HSA-1643685;R-HSA-597592
ENSG00000134460,47,12,1,1,0,1,2209.8301559792026,574782.4268116049,2010-04-21,4,2,0,0,0,14,4,0,26,21,25,2,15,0,10,0,0,0,0,18,0,0,10,151,IL2RA,0.09399998,0.90473,-0.21338,4,0.5,0.0,Signal Transduction;Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription);Signaling by Interleukins;RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),R-HSA-162582;R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160;R-HSA-449147;R-HSA-8877330
ENSG00000142599,19,12,1,0,0,1,15866.724081734988,1122672.658801146,2015-07-21,0,2,0,2,0,0,0,0,2,1,16,1,1,0,3,0,16,0,0,0,1,1,2,48,RERE,0.541,0.18278,-3.4833,0,-1.0,-1.0,,
ENSG00000196821,18,12,1,0,0,1,11252.882952659449,756470.9740366563,2017-12-06,1,0,0,0,2,2,0,0,0,3,0,1,1,0,1,0,2,0,0,2,1,3,4,23,ILRUN,0.81200004,3.3156,0.99091,0,0.5,-1.0,,
ENSG00000073605,36,12,1,0,1,1,1796.3636363636363,562534.7696387965,2007-07-26,9,5,0,0,3,4,0,0,0,1,64,2,4,0,4,0,0,0,0,11,0,1,5,113,GSDMB,-0.029999971,0.79983,0.93846,0,0.5,0.0,,
ENSG00000096395,19,12,0,0,0,1,3170.6458170445662,727796.3668420183,2011-09-08,2,1,0,5,1,2,1,0,0,2,0,0,8,0,0,0,1,0,0,8,0,4,1,36,MLN,-0.63,-0.14513,-1.1461,2,1.0,1.0,Signal Transduction,R-HSA-162582
ENSG00000096433,22,12,1,0,0,1,5020.480367868098,1778690.168860174,2018-08-13,0,7,0,0,1,6,0,0,1,1,3,1,8,0,1,0,1,0,0,4,0,0,3,37,ITPR3,0.32999998,5.2792,2.5235,15,-1.0,0.0,Signal Transduction;Immune System;Disease;Signaling by Receptor Tyrosine Kinases,R-HSA-162582;R-HSA-168256;R-HSA-1643685;R-HSA-9006934
ENSG00000100344,45,12,0,0,1,1,1104.4585218702866,1424218.0900670097,2012-06-14,24,0,0,3,6,5,48,3,0,0,0,0,16,0,0,4,3,0,2,6,0,0,21,141,PNPLA3,-0.23899996,-0.25152,-0.61782,1,1.0,0.5,Acyl chain remodeling of DAG and TAG,R-HSA-1482883
ENSG00000105397,27,12,1,0,1,1,4577.112081236758,756470.9740366563,2009-12-06,3,23,0,0,1,10,2,0,6,6,4,10,30,0,5,0,0,0,0,34,0,0,0,134,TYK2,0.374,2.042,0.1738,20,-1.0,0.0,Signal Transduction;Cytokine Signaling in Immune system;Immune System;Disease;Signaling by Interleukins;Diseases of signal transduction by growth factor receptors and second messengers;MAPK1 (ERK2) activation;Interleukin-4 and Interleukin-13 signaling,R-HSA-162582;R-HSA-1280215;R-HSA-168256;R-HSA-1643685;R-HSA-449147;R-HSA-5663202;R-HSA-112411;R-HSA-6785807
ENSG00000114861,51,12,1,0,0,1,2395.7541411865996,1778690.168860174,2016-01-29,47,0,0,0,2,2,6,2,7,0,3,0,1,0,2,0,10,0,0,7,0,0,10,99,FOXP1,0.72099996,2.6573,-1.3166,1,-1.0,-1.0,Developmental Biology,R-HSA-1266738
ENSG00000115970,30,12,1,0,1,1,1225.1182294700059,645988.1975077938,2008-03-30,30,0,1,2,7,15,0,1,0,2,1,2,0,0,0,1,0,0,0,13,0,0,4,79,THADA,-0.17799997,-4.3399,-2.8973,1,-1.0,-1.0,,
ENSG00000120088,25,12,0,0,0,1,579.6775973030954,575147.0632428399,2009-11-15,4,5,0,1,6,1,0,0,0,2,0,2,0,0,0,0,2,0,2,5,1,0,1,32,CRHR1,0.34500003,2.9324,1.1763,2,0.75,0.5,Signal Transduction,R-HSA-162582
ENSG00000125398,30,12,1,0,0,1,3110.913138146162,1424218.0900670097,2018-02-08,6,0,0,0,1,1,2,0,2,5,0,6,8,1,1,0,0,0,0,1,0,0,18,52,SOX9,0.846,1.6558,-1.417,7,0.5,0.0,Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription),R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-1266738;R-HSA-74160
ENSG00000149948,28,12,0,0,0,1,5148.813701236917,1470466.6505612188,2010-06-27,2,0,0,5,3,35,0,0,1,11,1,4,6,0,0,0,2,0,0,4,0,0,4,78,HMGA2,-0.68799996,-0.17393,-1.4073,1,0.5,0.5,,
ENSG00000153094,37,12,1,0,0,1,1978.0625865411243,1424218.0900670097,2013-12-01,22,3,0,0,1,10,2,0,1,0,20,1,4,1,0,0,0,0,0,3,0,0,4,72,BCL2L11,-0.23000002,-0.85136,-0.85946,8,-1.0,-1.0,Signal Transduction;Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription);Disease;Diseases of signal transduction by growth factor receptors and second messengers;Transcriptional regulation by RUNX3,R-HSA-162582;R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160;R-HSA-1643685;R-HSA-5663202;R-HSA-8878159
ENSG00000182095,46,12,1,0,1,1,3434.615477124845,381165.6245253304,2021-11-04,0,1,0,2,0,2,3,0,5,6,1,0,8,0,3,0,0,0,0,26,0,1,8,66,TNRC18,0.444,-7.5215,-10.583,0,-1.0,-1.0,,
ENSG00000182185,32,12,0,0,0,1,2209.8301559792026,562534.7696387965,2011-03-13,9,3,0,5,2,0,0,0,1,5,25,2,6,0,3,0,0,0,0,7,0,0,3,71,RAD51B,-0.24699998,0.73464,-0.097242,10,-1.0,-1.0,Disease,R-HSA-1643685
ENSG00000197249,36,12,1,1,1,1,3114.677466385874,782476.8109259979,2012-07-19,6,0,1,0,9,0,8,0,0,0,13,0,5,0,2,0,1,0,2,16,0,1,12,76,SERPINA1,-0.13399994,-0.16272,0.0067797,6,1.0,-1.0,Immune System;Post-translational protein modification,R-HSA-168256;R-HSA-597592
ENSG00000198734,45,12,1,0,1,1,3497.8652617778025,672632.4785173276,2013-05-05,5,0,0,1,55,0,0,2,2,0,1,0,1,0,2,8,0,0,0,1,0,4,41,123,F5,0.296,2.7865,1.015,6,0.75,0.0,Post-translational protein modification,R-HSA-597592
ENSG00000204842,44,12,1,0,0,1,1455.4894671623297,804063.9714459113,2012-05-06,3,0,0,4,30,4,2,0,1,5,3,0,13,0,3,0,0,0,0,4,0,0,13,85,ATXN2,0.681,2.5897,0.24417,0,-1.0,-1.0,,
ENSG00000065060,19,11,1,0,1,1,3902.1881946159547,1778690.168860174,2012-12-27,2,0,0,0,2,0,0,0,0,2,1,8,3,0,0,0,1,0,1,2,0,1,3,26,BLTP3A,0.32099998,2.5595,2.0442,0,-1.0,-1.0,,
ENSG00000070366,42,11,1,0,1,1,4074.958527607362,1470466.6505612188,2012-09-09,3,1,0,6,33,0,2,0,0,0,1,0,18,0,0,0,8,0,0,1,2,0,17,92,SMG6,0.445,0.70311,-1.0055,1,-1.0,-1.0,,
ENSG00000173531,27,11,1,1,1,1,2303.867283111232,1470466.6505612188,2008-06-29,8,0,0,0,3,0,5,0,2,0,1,0,3,0,1,0,4,0,0,20,0,1,1,49,MST1,0.049000025,1.5116,0.77803,1,1.0,-1.0,Signal Transduction;Signaling by Receptor Tyrosine Kinases,R-HSA-162582;R-HSA-9006934
ENSG00000275342,15,11,1,0,0,1,12511.068286850166,444537.33605315426,2017-07-17,1,1,0,0,2,1,0,0,0,11,2,3,0,0,1,0,1,0,0,3,0,0,1,27,PRAG1,-0.29499996,-5.2929,-3.8829,1,0.5,0.0,,
ENSG00000053918,18,11,0,0,1,1,665.2820816085157,1424218.0900670097,2008-08-17,7,0,1,9,2,92,0,0,0,0,1,4,1,0,0,0,4,0,1,0,0,0,1,123,KCNQ1,0.08499998,0.91213,-2.1794,3,0.5,0.0,,
ENSG00000079308,26,11,1,0,1,1,1562.6148003222465,1424218.0900670097,2017-02-14,20,0,0,3,11,2,4,1,0,6,4,0,0,0,1,0,0,0,0,3,0,0,1,56,TNS1,0.554,0.97811,0.23568,0,-1.0,-1.0,,
ENSG00000130940,30,11,1,0,1,1,959.7167584579072,756470.9740366563,2018-03-12,2,0,0,1,36,0,1,0,0,2,1,0,1,0,2,0,0,0,4,7,0,0,26,83,CASZ1,0.71500003,2.0333,0.00059885,0,0.5,0.0,,
ENSG00000134824,44,11,1,0,0,1,21479.205904930615,633132.2332759313,2017-01-24,9,0,0,0,4,4,2,0,1,1,15,0,2,0,0,0,7,0,0,9,0,0,4,58,FADS2,0.58500004,4.1372,1.0803,2,0.5,-1.0,,
ENSG00000145996,31,11,1,0,0,1,690.0730593607306,1424218.0900670097,2007-04-26,16,0,6,2,2,77,0,0,0,0,0,2,0,0,1,0,4,0,1,19,0,0,3,133,CDKAL1,0.357,0.92839,0.17079,1,-1.0,-1.0,,
ENSG00000150347,25,11,1,0,0,1,1101.254193548387,1424218.0900670097,2009-08-16,10,0,0,2,2,7,0,0,0,13,0,5,19,0,2,0,4,0,0,1,0,0,5,70,ARID5B,0.78900003,3.0454,1.0651,1,0.5,-1.0,,
ENSG00000158321,21,11,1,0,0,1,10835.003904419804,1424218.0900670097,2012-05-31,0,0,0,2,4,21,0,1,0,0,2,1,2,0,0,0,5,0,2,4,0,0,5,49,AUTS2,0.768,1.8752,-0.95394,1,0.5,-1.0,Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription),R-HSA-212436;R-HSA-73857;R-HSA-74160
ENSG00000164362,84,11,1,0,1,1,1168.9991445680068,782476.8109259979,2009-07-05,243,0,0,0,4,0,1,0,5,7,7,2,2,0,2,0,0,0,0,13,0,0,10,296,TERT,0.407,3.0616,-2.5415,3,,,Signal Transduction;Developmental Biology;Formation of the beta-catenin:TCF transactivating complex,R-HSA-162582;R-HSA-1266738;R-HSA-201722
ENSG00000197728,26,11,1,0,0,1,1455.4894671623297,562534.7696387965,2011-07-31,1,0,0,0,0,7,0,0,3,6,18,1,2,0,2,0,1,0,0,2,0,0,2,45,RPS26,0.68,2.7399,-0.36271,18,-1.0,-1.0,Developmental Biology;Disease;Translation;rRNA processing;Regulation of expression of SLITs and ROBOs;Cellular response to starvation;Influenza Viral RNA Transcription and Replication;SRP-dependent cotranslational protein targeting to membrane;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),R-HSA-1266738;R-HSA-1643685;R-HSA-72766;R-HSA-72312;R-HSA-9010553;R-HSA-9711097;R-HSA-168273;R-HSA-1799339;R-HSA-975956
ENSG00000240505,17,11,0,1,1,1,6528.193096288606,382631.1172224132,2013-08-18,8,2,0,0,0,0,2,0,0,0,3,1,0,3,2,1,0,0,2,3,0,0,3,30,TNFRSF13B,-0.794,-0.31749,-0.72048,1,0.75,0.5,Cytokine Signaling in Immune system;Immune System,R-HSA-1280215;R-HSA-168256
ENSG00000069667,34,11,1,0,0,1,455.18696069031637,633132.2332759313,2014-07-22,1,0,0,1,2,1,1,0,0,0,40,0,0,0,1,0,12,0,0,10,0,1,6,76,RORA,0.793,2.3246,-0.75151,10,0.5,-1.0,Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription);Signaling by Interleukins;Post-translational protein modification;Interleukin-4 and Interleukin-13 signaling,R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160;R-HSA-449147;R-HSA-597592;R-HSA-6785807
ENSG00000110367,20,11,1,0,0,1,2696.97232079489,1122672.658801146,2011-02-24,4,1,0,2,0,0,0,0,2,0,2,1,3,0,1,0,1,0,0,2,0,0,2,21,DDX6,0.872,4.2783,0.32529,1,-1.0,-1.0,,
