approvedSymbol	geneId	ID	Term	uniqueDiseases	UMAP 1	UMAP 2	cluster
ACVR1C	ENSG00000123612	R-HSA-162582;R-HSA-1266738;R-HSA-1433617	Signal Transduction;Developmental Biology;Regulation of signaling by NODAL	2	5.58964	-1.0085284	-1
ACVR2A	ENSG00000121989	R-HSA-162582;R-HSA-1266738;R-HSA-1433617	Signal Transduction;Developmental Biology;Regulation of signaling by NODAL	5	5.6211534	-1.0309497	-1
ACVR2B	ENSG00000114739	R-HSA-162582;R-HSA-1266738;R-HSA-1433617	Signal Transduction;Developmental Biology;Regulation of signaling by NODAL	2	5.6087456	-1.0194376	-1
ACVRL1	ENSG00000139567	R-HSA-162582	Signal Transduction	1	5.0680676	-14.5528965	10
ADA	ENSG00000196839	R-HSA-1643685	Disease	1	-13.040459	-3.113559	3
ADAM10	ENSG00000137845	R-HSA-162582;R-HSA-168256;R-HSA-1266738;R-HSA-1643685;R-HSA-3928665;R-HSA-9006934;R-HSA-5663202;R-HSA-597592	Signal Transduction;Immune System;Developmental Biology;Disease;EPH-ephrin mediated repulsion of cells;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers;Post-translational protein modification	4	6.606095	-1.5184824	-1
ADAM12	ENSG00000148848	R-HSA-162582;R-HSA-9006934	Signal Transduction;Signaling by Receptor Tyrosine Kinases	1	-16.812864	21.29278	9
ADAM21	ENSG00000139985	R-HSA-2534343;R-HSA-1187000	Interaction With Cumulus Cells And The Zona Pellucida;Fertilization	1	14.987985	-5.597873	-1
ADAM22	ENSG00000008277	R-HSA-5682910;R-HSA-1266738	LGI-ADAM interactions;Developmental Biology	1	-16.935646	5.2525096	5
ADAM23	ENSG00000114948	R-HSA-5682910;R-HSA-1266738	LGI-ADAM interactions;Developmental Biology	3	-17.083	5.2205	5
ADAM30	ENSG00000134249	R-HSA-2534343;R-HSA-1187000	Interaction With Cumulus Cells And The Zona Pellucida;Fertilization	5	14.8511715	-5.8484745	-1
ADAMTS1	ENSG00000154734	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	1	23.34586	17.573462	44
ADAMTS10	ENSG00000142303	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	2	23.488455	17.621058	44
ADAMTS14	ENSG00000138316	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	1	23.474722	18.006033	44
ADAMTS16	ENSG00000145536	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	14	22.84397	18.02718	44
ADAMTS17	ENSG00000140470	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	2	23.619896	18.179356	44
ADAMTS18	ENSG00000140873	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	3	22.861979	17.760107	44
ADAMTS19	ENSG00000145808	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	1	23.493368	17.988457	44
ADAMTS20	ENSG00000173157	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	1	22.881367	17.746975	44
ADAMTS3	ENSG00000156140	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	6	22.990736	17.499096	44
ADAMTS4	ENSG00000158859	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	1	22.983768	17.591597	44
ADAMTS5	ENSG00000154736	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	5	23.027117	18.24082	44
ADAMTS6	ENSG00000049192	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	6	22.94619	18.175499	44
ADAMTS7	ENSG00000136378	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	17	23.633034	17.95628	44
ADAMTS8	ENSG00000134917	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	9	23.126799	17.9668	44
ADAMTS9	ENSG00000163638	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	15	23.005108	18.113256	44
ADAMTSL1	ENSG00000178031	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	5	23.461298	17.49857	44
ADAMTSL2	ENSG00000197859	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	4	23.502127	17.575949	44
ADAMTSL3	ENSG00000156218	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	11	23.350485	17.991941	44
ADAMTSL4	ENSG00000143382	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	6	23.15381	17.477154	44
ADAP1	ENSG00000105963	R-HSA-162582;R-HSA-9006934	Signal Transduction;Signaling by Receptor Tyrosine Kinases	6	-16.733866	21.337929	9
ADAR	ENSG00000160710	R-HSA-1280215;R-HSA-168256	Cytokine Signaling in Immune system;Immune System	4	-16.415405	-14.625711	30
ADCY1	ENSG00000164742	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	2	2.1826584	19.109562	35
ADCY10	ENSG00000143199	R-HSA-162582	Signal Transduction	1	4.9423256	-14.854388	10
ADCY2	ENSG00000078295	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	8	2.5651262	18.759165	35
ADCY3	ENSG00000138031	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	10	2.604731	18.783073	35
ADCY4	ENSG00000129467	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	1	2.2052484	18.676216	35
ADCY5	ENSG00000173175	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	14	2.4433935	18.934128	35
ADCY7	ENSG00000121281	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	11	2.6364536	19.11624	35
ADCY8	ENSG00000155897	R-HSA-162582;R-HSA-442720;R-HSA-1643685	Signal Transduction;CREB1 phosphorylation through the activation of Adenylate Cyclase;Disease	3	9.935791	-2.3967118	-1
ADCY9	ENSG00000162104	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	9	2.2488983	18.859407	35
ADCYAP1	ENSG00000141433	R-HSA-162582;R-HSA-9006934	Signal Transduction;Signaling by Receptor Tyrosine Kinases	1	-16.95407	21.844744	9
ADD3	ENSG00000148700	R-HSA-162582;R-HSA-5223345	Signal Transduction;Miscellaneous transport and binding events	3	6.524282	0.8627576	-1
ADGRE3	ENSG00000131355	R-HSA-162582;R-HSA-168256	Signal Transduction;Immune System	1	23.699535	23.924683	49
ADGRG3	ENSG00000182885	R-HSA-168256	Immune System	1	-6.127825	-21.423956	31
ADGRG6	ENSG00000112414	R-HSA-1266738	Developmental Biology	3	-15.336617	5.622116	5
ADGRV1	ENSG00000164199	R-HSA-1266738	Developmental Biology	7	-15.943451	6.3534565	5
ADH1A	ENSG00000187758	R-HSA-162582	Signal Transduction	1	4.972284	-15.202408	10
ADH1C	ENSG00000248144	R-HSA-162582	Signal Transduction	7	5.037431	-14.91725	10
ADK	ENSG00000156110	R-HSA-8956321;R-HSA-15869	Nucleotide salvage;Metabolism of nucleotides	5	-5.9411225	13.336649	11
ADM	ENSG00000148926	R-HSA-162582	Signal Transduction	13	5.0180464	-15.064633	10
ADORA1	ENSG00000163485	R-HSA-162582	Signal Transduction	6	5.166084	-14.680567	10
ADRA1B	ENSG00000170214	R-HSA-162582;R-HSA-390696;R-HSA-375280	Signal Transduction;Adrenoceptors;Amine ligand-binding receptors	1	3.8481896	-6.6711087	39
ADRA1D	ENSG00000171873	R-HSA-162582;R-HSA-390696;R-HSA-375280	Signal Transduction;Adrenoceptors;Amine ligand-binding receptors	1	3.6199234	-6.9093065	39
ADRA2A	ENSG00000150594	R-HSA-162582;R-HSA-390696;R-HSA-5683826;R-HSA-375280;R-HSA-400042	Signal Transduction;Adrenoceptors;Surfactant metabolism;Amine ligand-binding receptors;Adrenaline,noradrenaline inhibits insulin secretion	4	4.3363824	-5.866771	39
ADRA2B	ENSG00000274286	R-HSA-162582;R-HSA-390696;R-HSA-375280	Signal Transduction;Adrenoceptors;Amine ligand-binding receptors	1	3.7975883	-6.688837	39
ADRB1	ENSG00000043591	R-HSA-162582;R-HSA-390696;R-HSA-375280	Signal Transduction;Adrenoceptors;Amine ligand-binding receptors	4	3.8796933	-6.5508385	39
AEBP2	ENSG00000139154	R-HSA-74160	Gene expression (Transcription)	3	1.3867791	26.82519	14
AFF4	ENSG00000072364	R-HSA-73857;R-HSA-74160	RNA Polymerase II Transcription;Gene expression (Transcription)	3	-5.3186007	29.476671	36
AGA	ENSG00000038002	R-HSA-168256	Immune System	1	-4.738782	-21.718397	31
AGBL1	ENSG00000273540	R-HSA-597592	Post-translational protein modification	5	23.803593	1.1242762	21
AGBL2	ENSG00000165923	R-HSA-8955332;R-HSA-597592	Carboxyterminal post-translational modifications of tubulin;Post-translational protein modification	5	13.711061	-11.353666	20
AGBL4	ENSG00000186094	R-HSA-8955332;R-HSA-597592	Carboxyterminal post-translational modifications of tubulin;Post-translational protein modification	4	13.651496	-11.395111	20
AGGF1	ENSG00000164252	R-HSA-1643685;R-HSA-5663202	Disease;Diseases of signal transduction by growth factor receptors and second messengers	1	30.798672	20.923988	2
AGL	ENSG00000162688	R-HSA-168256	Immune System	1	-5.2584977	-21.523003	31
AGMAT	ENSG00000116771	R-HSA-351202	Metabolism of polyamines	2	-0.44210097	22.92792	4
AGO1	ENSG00000092847	R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-1643685;R-HSA-5578749;R-HSA-211000;R-HSA-5663202	Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);Disease;Transcriptional regulation by small RNAs;Gene Silencing by RNA;Diseases of signal transduction by growth factor receptors and second messengers	1	-1.1524845	2.5959563	60
AGO2	ENSG00000123908	R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-203927;R-HSA-1643685;R-HSA-5578749;R-HSA-211000;R-HSA-5663202	Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);MicroRNA (miRNA) biogenesis;Disease;Transcriptional regulation by small RNAs;Gene Silencing by RNA;Diseases of signal transduction by growth factor receptors and second messengers	8	-0.84747434	2.769473	60
AGO4	ENSG00000134698	R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-203927;R-HSA-1643685;R-HSA-211000;R-HSA-5663202	Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);MicroRNA (miRNA) biogenesis;Disease;Gene Silencing by RNA;Diseases of signal transduction by growth factor receptors and second messengers	1	-1.1461686	2.5608747	60
AGPAT3	ENSG00000160216	R-HSA-1483166;R-HSA-8856688	Synthesis of PA;Golgi-to-ER retrograde transport	1	8.517811	2.9323897	-1
AGPAT4	ENSG00000026652	R-HSA-1483166	Synthesis of PA	3	-9.917269	-4.0301695	26
AGPS	ENSG00000018510	R-HSA-9033241	Peroxisomal protein import	1	-5.540851	-0.17122743	0
AGT	ENSG00000135744	R-HSA-162582;R-HSA-2022377	Signal Transduction;Metabolism of Angiotensinogen to Angiotensins	2	7.011737	-0.26181236	-1
AGTR1	ENSG00000144891	R-HSA-162582	Signal Transduction	1	5.142612	-14.313747	10
AGTR2	ENSG00000180772	R-HSA-162582	Signal Transduction	3	4.99394	-14.963539	10
AHSG	ENSG00000145192	R-HSA-168256;R-HSA-597592	Immune System;Post-translational protein modification	1	-24.336685	17.909641	46
AIMP1	ENSG00000164022	R-HSA-379724;R-HSA-1266738;R-HSA-379716;R-HSA-72766	tRNA Aminoacylation;Developmental Biology;Cytosolic tRNA aminoacylation;Translation	2	3.3639057	-4.100513	-1
AJUBA	ENSG00000129474	R-HSA-1266738;R-HSA-74160;R-HSA-1234176	Developmental Biology;Gene expression (Transcription);Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	2	-0.13830705	3.2915874	-1
AK4	ENSG00000162433	R-HSA-499943;R-HSA-15869	Interconversion of nucleotide di- and triphosphates;Metabolism of nucleotides	1	-5.781625	13.04194	11
AK5	ENSG00000154027	R-HSA-499943;R-HSA-15869	Interconversion of nucleotide di- and triphosphates;Metabolism of nucleotides	5	-5.985382	12.840467	11
AKAP1	ENSG00000121057	R-HSA-8949215	Mitochondrial calcium ion transport	1	8.215992	-9.937953	6
AKAP12	ENSG00000131016	R-HSA-162582	Signal Transduction	7	5.02674	-14.496802	10
AKAP13	ENSG00000170776	R-HSA-162582	Signal Transduction	10	5.1997457	-15.035483	10
AKAP9	ENSG00000127914	R-HSA-1643685;R-HSA-5663202	Disease;Diseases of signal transduction by growth factor receptors and second messengers	1	30.704317	21.09879	2
AKR1A1	ENSG00000117448	R-HSA-156580	Phase II - Conjugation of compounds	1	-0.84688	13.303028	25
AKR1C1	ENSG00000187134	R-HSA-9757110;R-HSA-192105;R-HSA-8957322;R-HSA-194068	Prednisone ADME;Synthesis of bile acids and bile salts;Metabolism of steroids;Bile acid and bile salt metabolism	2	4.7178936	1.1975608	-1
AKR1C2	ENSG00000151632	R-HSA-193775;R-HSA-192105;R-HSA-8957322;R-HSA-194068	Synthesis of bile acids and bile salts via 24-hydroxycholesterol;Synthesis of bile acids and bile salts;Metabolism of steroids;Bile acid and bile salt metabolism	1	11.478092	7.331631	22
AKR1E2	ENSG00000165568	R-HSA-8982491	Glycogen metabolism	2	8.648846	2.4053216	-1
AKT1	ENSG00000142208	R-HSA-162582;R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-1643685;R-HSA-449147;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);Disease;Signaling by Interleukins;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	1	2.9992752	3.4613771	56
AKT1S1	ENSG00000204673	R-HSA-162582;R-HSA-1643685;R-HSA-165159;R-HSA-5663202	Signal Transduction;Disease;MTOR signalling;Diseases of signal transduction by growth factor receptors and second messengers	1	-16.984167	-2.5740228	34
AKT2	ENSG00000105221	R-HSA-162582;R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-392451;R-HSA-8941332;R-HSA-1643685;R-HSA-397795;R-HSA-165159;R-HSA-9007101;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);G beta:gamma signalling through PI3Kgamma;RUNX2 regulates genes involved in cell migration;Disease;G-protein beta:gamma signalling;MTOR signalling;Rab regulation of trafficking;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	1	3.4050617	2.9848459	56
AKT3	ENSG00000117020	R-HSA-162582;R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-392451;R-HSA-8941332;R-HSA-1643685;R-HSA-397795;R-HSA-9007101;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);G beta:gamma signalling through PI3Kgamma;RUNX2 regulates genes involved in cell migration;Disease;G-protein beta:gamma signalling;Rab regulation of trafficking;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	6	3.0919847	2.854942	56
ALAS1	ENSG00000023330	R-HSA-189451	Heme biosynthesis	3	7.107855	3.000712	-1
ALCAM	ENSG00000170017	R-HSA-1266738	Developmental Biology	4	-16.04254	6.2120028	5
ALDH1A2	ENSG00000128918	R-HSA-162582	Signal Transduction	12	5.152221	-15.326171	10
ALDH8A1	ENSG00000118514	R-HSA-162582	Signal Transduction	4	4.9514437	-14.702378	10
ALG10	ENSG00000139133	R-HSA-597592	Post-translational protein modification	2	23.551008	1.6616353	21
ALG10B	ENSG00000175548	R-HSA-597592	Post-translational protein modification	2	23.438871	2.265354	21
ALG11	ENSG00000253710	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	2	23.130575	17.589483	44
ALG12	ENSG00000182858	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	1	23.681293	17.75846	44
ALG2	ENSG00000119523	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	2	23.446877	17.800037	44
ALK	ENSG00000171094	R-HSA-162582;R-HSA-1643685;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Disease;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	1	-16.689617	-2.5849178	34
ALOX15	ENSG00000161905	R-HSA-1280215;R-HSA-168256;R-HSA-2142691;R-HSA-449147;R-HSA-2142753;R-HSA-6785807	Cytokine Signaling in Immune system;Immune System;Synthesis of Leukotrienes (LT) and Eoxins (EX);Signaling by Interleukins;Arachidonate metabolism;Interleukin-4 and Interleukin-13 signaling	9	5.9295497	4.6595936	-1
ALOX5	ENSG00000012779	R-HSA-1280215;R-HSA-168256;R-HSA-2142691;R-HSA-449147;R-HSA-2142753;R-HSA-6785807	Cytokine Signaling in Immune system;Immune System;Synthesis of Leukotrienes (LT) and Eoxins (EX);Signaling by Interleukins;Arachidonate metabolism;Interleukin-4 and Interleukin-13 signaling	1	5.8152013	4.594453	-1
ALOX5AP	ENSG00000132965	R-HSA-2142691;R-HSA-2142753	Synthesis of Leukotrienes (LT) and Eoxins (EX);Arachidonate metabolism	3	14.203009	4.938749	27
ALPG	ENSG00000163286	R-HSA-597592	Post-translational protein modification	1	23.239141	1.341178	21
ALPI	ENSG00000163295	R-HSA-1483166;R-HSA-597592	Synthesis of PA;Post-translational protein modification	1	8.712363	0.84829456	-1
ALPK1	ENSG00000073331	R-HSA-1280215;R-HSA-168256;R-HSA-449147	Cytokine Signaling in Immune system;Immune System;Signaling by Interleukins	1	-10.190907	-11.00261	29
ALPL	ENSG00000162551	R-HSA-597592	Post-translational protein modification	6	24.417656	1.9885134	21
ALS2	ENSG00000003393	R-HSA-162582;R-HSA-9007101	Signal Transduction;Rab regulation of trafficking	2	8.936761	-1.8307388	-1
ALX3	ENSG00000156150	R-HSA-1266738	Developmental Biology	2	-15.598054	6.0187488	5
AMELX	ENSG00000125363	R-HSA-597592	Post-translational protein modification	3	23.474413	1.228435	21
AMFR	ENSG00000159461	R-HSA-597592	Post-translational protein modification	2	23.56667	1.0854682	21
AMN	ENSG00000166126	R-HSA-1643685	Disease	5	-12.450969	-2.7535741	3
AMOTL1	ENSG00000166025	R-HSA-162582	Signal Transduction	3	5.167566	-14.497097	10
AMPD3	ENSG00000133805	R-HSA-168256;R-HSA-8956321;R-HSA-15869	Immune System;Nucleotide salvage;Metabolism of nucleotides	3	5.5092726	2.4390786	-1
AMTN	ENSG00000187689	R-HSA-597592	Post-translational protein modification	1	24.37502	1.2601949	21
AMY1A	ENSG00000237763	R-HSA-8963743;R-HSA-8935690	Digestion and absorption;Digestion	2	1.8425602	11.480474	-1
ANAPC1	ENSG00000153107	R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160;R-HSA-1643685	Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription);Disease	10	1.9829845	5.989609	-1
ANAPC16	ENSG00000166295	R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-1643685	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Disease	1	14.276722	21.613216	47
ANAPC4	ENSG00000053900	R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160;R-HSA-1643685	Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription);Disease	16	2.1723602	5.938827	-1
ANGPT1	ENSG00000154188	R-HSA-162582	Signal Transduction	5	5.7464437	-14.171356	10
ANGPTL3	ENSG00000132855	R-HSA-162582;R-HSA-8963899	Signal Transduction;Plasma lipoprotein remodeling	9	8.225665	0.327597	-1
ANGPTL4	ENSG00000167772	R-HSA-1266738;R-HSA-74160;R-HSA-8963899	Developmental Biology;Gene expression (Transcription);Plasma lipoprotein remodeling	12	1.4843783	2.508692	-1
ANK1	ENSG00000029534	R-HSA-1266738;R-HSA-445095;R-HSA-597592	Developmental Biology;Interaction between L1 and Ankyrins;Post-translational protein modification	3	3.3625674	-2.2478042	-1
ANK2	ENSG00000145362	R-HSA-1266738;R-HSA-445095;R-HSA-597592	Developmental Biology;Interaction between L1 and Ankyrins;Post-translational protein modification	1	3.1390781	-2.3226295	-1
ANK3	ENSG00000151150	R-HSA-1266738;R-HSA-445095;R-HSA-597592	Developmental Biology;Interaction between L1 and Ankyrins;Post-translational protein modification	3	3.2554631	-2.1120448	-1
ANKH	ENSG00000154122	R-HSA-5223345	Miscellaneous transport and binding events	6	7.9494314	-9.814755	6
ANKRD27	ENSG00000105186	R-HSA-9007101	Rab regulation of trafficking	1	19.409742	-13.308983	18
ANKRD28	ENSG00000206560	R-HSA-597592	Post-translational protein modification	2	23.199976	1.7717749	21
